ID,编码,名称
415,1995,开鲁县
416,1996,库伦旗
417,1997,奈曼旗
418,1998,扎鲁特旗
419,2010,锡林郭勒盟
420,2011,二连浩特市
421,2012,锡林浩特市
422,2013,阿巴嘎旗
423,2014,苏尼特左旗
424,2015,苏尼特右旗
425,2016,东乌珠穆沁旗
426,2017,西乌珠穆沁旗
427,2018,太仆寺旗
428,2019,镶黄旗
429,2021,正镶白旗
430,2022,正蓝旗
431,2023,多伦县
432,2030,乌兰察布市
433,2031,集宁区
434,2035,卓资县
435,2036,化德县
436,2037,商都县
437,2038,兴和县
438,2039,丰镇市
439,2041,凉城县
440,2042,察哈尔右翼前旗
441,2043,察哈尔右翼中旗
442,2044,察哈尔右翼后旗
443,2046,四子王旗
444,2050,鄂尔多斯市
445,2051,东胜区
446,2052,达拉特旗
447,2053,准格尔旗
448,2054,鄂托克前旗
449,2055,鄂托克旗
450,2056,杭锦旗
451,2057,乌审旗
452,2058,伊金霍洛旗
453,2070,巴彦淖尔市
454,2071,临河区
455,2072,五原县
456,2073,磴口县
457,2074,乌拉特前旗
458,2075,乌拉特中旗
459,2076,乌拉特后旗
460,2077,杭锦后旗
461,2080,阿拉善盟
462,2081,阿拉善左旗
463,2082,阿拉善右旗
464,2083,额济纳旗
465,2200,辽宁省
466,2210,沈阳市
467,2211,新民市
468,2212,辽中县
469,2213,康平县
470,2214,法库县
471,2215,沈北新区
472,2216,和平区
473,2217,沈河区
474,2218,大东区
475,2219,皇姑区
476,2351,铁西区
477,2352,苏家屯区
478,2353,浑南区
479,2354,于洪区
480,2220,大连市
481,2221,普兰店市
482,2222,长海县
483,2223,庄河市
484,2224,瓦房店市
485,2225,中山区
486,2226,西岗区
487,2227,沙河口区
488,2228,甘井子区
489,2229,旅顺口区
490,2371,金州区
491,2230,鞍山市
492,2231,台安县
493,2232,海城市
494,2233,岫岩满族自治县
495,2234,铁东区
496,2235,铁西区
497,2236,立山区
498,2237,千山区
499,2240,抚顺市
500,2241,抚顺县
501,2242,新宾满族自治县
502,2243,清原满族自治县
503,2244,新抚区
504,2245,东洲区
505,2246,望花区
506,2247,顺城区
507,2250,本溪市
508,2251,本溪满族自治县
509,2252,桓仁满族自治县
510,2253,平山区
511,2254,溪湖区
512,2255,明山区
513,2256,南芬区
514,2260,丹东市
515,2261,凤城市
516,2263,东港市
517,2264,宽甸满族自治县
518,2265,元宝区
519,2266,振安区
520,2267,振兴区
521,2270,锦州市
522,2271,太和区
523,2272,凌海市
524,2273,北镇市
525,2274,黑山县
526,2275,义　县
527,2276,古塔区
528,2277,凌河区
529,2280,营口市
530,2281,大石桥市
531,2282,盖州市
532,2283,站前区
533,2284,西市区
534,2285,鲅鱼圈区
535,2286,老边区
536,2290,阜新市
537,2291,阜新蒙古族自治县
538,2292,彰武县
539,2293,海州区
540,2294,新邱区
541,2295,太平区
542,2296,清河门区
543,2297,细河区
544,2310,辽阳市
545,2311,辽阳县
546,2312,灯塔市
547,2313,白塔区
548,2314,文圣区
549,2315,宏伟区
550,2316,弓长岭区
551,2317,太子河区
552,2320,盘锦市
553,2321,大洼县
554,2322,盘山县
555,2323,双台子区
556,2324,兴隆台区
557,2330,铁岭市
558,2331,铁岭县
559,2332,西丰县
560,2333,昌图县
561,2336,调兵山市
562,2337,开原市
563,2338,银州区
564,2339,清河区
565,2340,朝阳市
566,2341,朝阳县
567,2342,建平县
568,2343,凌源市
569,2344,喀喇沁左翼蒙古族自治县
570,2345,龙城区
571,2346,北票市
572,2347,双塔区
573,2360,葫芦岛市
574,2361,绥中县
575,2362,建昌县
576,2363,兴城市
577,2364,连山区
578,2365,龙港区
579,2366,南票区
580,2400,吉林省
581,2410,长春市
582,2411,榆树市
583,2412,农安县
584,2413,德惠市
585,2415,九台区
586,2416,南关区
587,2417,宽城区
588,2418,朝阳区
589,2419,二道区
590,2481,绿园区
591,2482,双阳区
592,2420,吉林市
593,2421,永吉县
594,2422,舒兰市
595,2423,磐石市
596,2424,蛟河市
597,2425,桦甸市
598,2426,丰满区
599,2427,昌邑区
600,2428,龙潭区
601,2429,船营区
602,2430,四平市
603,2431,梨树县
604,2432,伊通满族自治县
605,2433,双辽市
606,2434,公主岭市
607,2435,铁西区
608,2436,铁东区
609,2440,辽源市
610,2441,东丰县
611,2442,东辽县
612,2443,龙山区
613,2444,西安区
614,2450,通化市
615,2451,通化县
616,2452,辉南县
617,2453,柳河县
618,2454,梅河口市
619,2455,集安市
620,2456,东昌区
621,2457,二道江区
622,2460,白山市
623,2461,抚松县
624,2462,靖宇县
625,2463,长白朝鲜族自治县
626,2464,临江市
627,2465,浑江区
628,2466,江源区
629,2470,白城市
630,2471,洮北区
631,2472,洮南市
632,2474,大安市
633,2477,镇赉县
634,2478,通榆县
635,2490,延边朝鲜族自治州
636,2491,延吉市
637,2492,图们市
638,2493,敦化市
639,2494,珲春市
640,2495,龙井市
641,2496,和龙市
642,2497,汪清县
643,2498,安图县
644,2510,松原市
645,2511,扶余市
646,2512,长岭县
647,2513,前郭尔罗斯蒙古族自治县
648,2514,乾安县
649,2515,宁江区
650,2600,黑龙江省
651,2610,哈尔滨市
652,2613,依兰县
653,2621,双城区
654,2622,尚志市
655,2623,宾　县
656,2624,五常市
657,2625,巴彦县
658,2626,木兰县
659,2627,通河县
660,2628,方正县
661,2629,延寿县
662,2631,道里区
663,2632,南岗区
664,2633,道外区
665,2634,平房区
666,2635,松北区
667,2636,香坊区
668,2637,呼兰区
669,2638,阿城区
670,2640,齐齐哈尔市
671,2641,龙江县
672,2642,讷河市
673,2643,依安县
674,2644,泰来县
675,2645,甘南县
676,2647,富裕县
677,2649,克山县
678,2651,克东县
679,2652,拜泉县
680,2653,龙沙区
681,2654,建华区
682,2655,铁锋区
683,2656,昂昂溪区
684,2657,富拉尔基区
685,2658,碾子山区
686,2659,梅里斯达斡尔族区
687,2660,鸡西市
688,2661,鸡东县
689,2662,虎林市
690,2663,密山市
691,2664,鸡冠区
692,2665,恒山区
693,2666,滴道区
694,2667,梨树区
695,2668,城子河区
696,2669,麻山区
697,2670,鹤岗市
698,2671,萝北县
699,2672,绥滨县
700,2673,向阳区
701,2674,工农区
702,2675,南山区
703,2676,兴安区
704,2677,东山区
705,2678,兴山区
706,2680,双鸭山市
707,2681,集贤县
708,2682,宝清县
709,2683,饶河县
710,2684,友谊县
711,2685,尖山区
712,2686,岭东区
713,2687,四方台区
714,2688,宝山区
715,2690,大庆市
716,2691,林甸县
717,2692,杜尔伯特蒙古族自治县
718,2693,肇源县
719,2694,肇州县
720,2695,萨尔图区
721,2696,龙凤区
722,2697,让胡路区
723,2698,红岗区
724,2699,大同区
725,2710,伊春市
726,2711,嘉荫县
727,2712,铁力市
728,2713,伊春区
729,2714,南岔区
730,2715,友好区
731,2716,西林区
732,2717,翠峦区
733,2718,新青区
734,2719,美溪区
735,2811,金山屯区
736,2812,五营区
737,2813,乌马河区
738,2814,汤旺河区
739,2815,带岭区
740,2816,乌伊岭区
741,2817,红星区
742,2818,上甘岭区
743,2720,佳木斯市
744,2721,桦南县
745,2723,桦川县
746,2725,汤原县
747,2727,抚远县
748,2729,同江市
749,2731,富锦市
750,2732,向阳区
751,2733,前进区
752,2734,东风区
753,2735,郊区
754,2740,七台河市
755,2741,勃利县
756,2742,新兴区
757,2743,桃山区
758,2744,茄子河区
759,2750,牡丹江市
760,2751,宁安市
761,2752,海林市
762,2753,穆棱市
763,2754,东宁县
764,2755,林口县
765,2757,绥芬河市
766,2758,东安区
767,2759,阳明区
768,2821,爱民区
769,2822,西安区
770,2760,绥化市
771,2761,北林区
772,2762,安达市
773,2763,肇东市
774,2764,海伦市
775,2765,望奎县
776,2766,兰西县
777,2767,青冈县
778,2771,庆安县
779,2772,明水县
780,2773,绥棱县
781,2780,黑河市
782,2781,爱辉区
783,2782,北安市
784,2783,五大连池市
785,2784,嫩江县
786,2786,逊克县
787,2787,孙吴县
788,2790,大兴安岭地区
789,2791,呼玛县
790,2792,塔河县
791,2793,漠河县
792,2900,上海市
793,2901,松江区
794,2902,青浦区
795,2903,奉贤区
796,2904,浦东新区
797,2905,金山区
798,2906,闵行区
799,2907,黄浦区
800,2908,徐汇区
801,2909,长宁区
802,2911,静安区
803,2912,普陀区
804,2913,闸北区
805,2914,虹口区
806,2915,杨浦区
807,2916,宝山区
808,2917,嘉定区
809,2929,崇明县
810,3000,江苏省
811,3010,南京市
812,3011,浦口区
813,3012,玄武区
814,3013,秦淮区
815,3014,建邺区
816,3015,鼓楼区
817,3016,栖霞区
818,3017,雨花台区
819,3018,江宁区
820,3019,六合区
821,3091,溧水区
822,3092,高淳区
823,3020,无锡市
824,3021,滨湖区
825,3022,江阴市
826,3023,宜兴市
827,3024,崇安区
828,3025,南长区
829,3026,北塘区
830,3027,锡山区
831,3028,惠山区
832,3030,徐州市
833,3031,丰　县
834,3032,沛　县
835,3034,睢宁县
836,3035,邳州市
837,3036,新沂市
838,3037,鼓楼区
839,3038,云龙区
840,3039,铜山区
841,3211,贾汪区
842,3212,泉山区
843,3040,常州市
844,3041,武进区
845,3042,金坛市
846,3043,溧阳市
847,3044,新北区
848,3045,天宁区
849,3046,钟楼区
850,3047,戚墅堰区
851,3050,苏州市
852,3051,太仓市
853,3052,昆山市
854,3055,常熟市
855,3056,张家港市
856,3057,吴中区
857,3058,虎丘区
858,3059,相城区
859,3221,姑苏区
860,3222,吴江区
861,3060,南通市
862,3061,海安县
863,3062,如皋市
864,3063,如东县
865,3065,海门市
866,3066,启东市
867,3067,通州区
868,3068,崇川区
869,3069,港闸区
870,3070,连云港市
871,3071,赣榆区
872,3072,东海县
873,3073,灌云县
874,3074,灌南县
875,3075,连云区
876,3076,海州区
877,3080,淮安市
878,3081,淮阴区
879,3082,清河区
880,3083,淮安区
881,3084,清浦区
882,3085,涟水县
883,3087,洪泽县
884,3088,盱眙县
885,3089,金湖县
886,3110,盐城市
887,3111,响水县
888,3112,滨海县
889,3113,阜宁县
890,3114,射阳县
891,3115,建湖县
892,3116,大丰市
893,3117,东台市
894,3118,亭湖区
895,3119,盐都区
896,3120,扬州市
897,3121,高邮市
898,3122,宝应县
899,3123,邗江区
900,3129,仪征市
901,3130,广陵区
902,3131,江都区
903,3140,镇江市
904,3141,丹徒区
905,3142,句容市
906,3143,扬中市
907,3144,丹阳市
908,3145,润州区
909,3146,京口区
910,3160,泰州市
911,3161,兴化市
912,3162,靖江市
913,3163,泰兴市
914,3164,姜堰区
915,3165,海陵区
916,3166,高港区
917,3180,宿迁市
918,3181,沭阳县
919,3182,泗阳县
920,3183,泗洪县
921,3184,宿豫区
922,3185,宿城区
923,3300,浙江省
924,3310,杭州市
925,3311,桐庐县
926,3312,富阳区
927,3313,临安市
928,3315,建德市
929,3316,淳安县
930,3317,余杭区
931,3318,上城区
932,3319,下城区
933,3471,江干区
934,3472,拱墅区
935,3473,西湖区
936,3474,滨江区
937,3475,萧山区
938,3320,宁波市
939,3321,象山县
940,3322,宁海县
941,3323,鄞州区
942,3324,余姚市
943,3325,慈溪市
944,3326,奉化市
945,3327,海曙区
946,3328,江东区
947,3329,江北区
948,3481,北仑区
949,3482,镇海区
950,3330,温州市
951,3332,洞头县
952,3333,乐清市
953,3334,永嘉县
954,3335,平阳县
955,3336,苍南县
956,3337,文成县
957,3338,泰顺县
958,3339,瑞安市
959,3341,鹿城区
960,3342,龙湾区
961,3343,瓯海区
962,3350,嘉兴市
963,3351,嘉善县
964,3352,平湖市
965,3353,海盐县
966,3354,桐乡市
967,3355,海宁市
968,3356,秀洲区
969,3357,南湖区
970,3360,湖州市
971,3361,德清县
972,3362,长兴县
973,3363,安吉县
